bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
ké,the letter Q (not used in writing Tetun),alphabet
kí,the letter Q (not used in writing Tetun),alphabet
ó,the letter O,alphabet
pé,the letter P,alphabet
sé3,the letter C (not used in writing Tetun),alphabet
té,the letter T,alphabet
ú,the letter U,alphabet
vé,the letter Verb,alphabet
wé,the letter W,alphabet
yé,the letter Y (not used in writing Tetun),alphabet
zé,the letter Z,alphabet
fahi knuuk,place which pig prepares to give birth,animals - equipment
fahi luhan,"pigsty,pigpen",animals - equipment
knuuk,"nest,nesting box",animals - equipment
luhan,"cage,pen",animals - equipment
manu knuuk,,animals - equipment
manu luhan,bird cage,animals - equipment
sela1,(horse) saddle,animals - equipment
aman2,male (of animals),animals - other
ayam potong,chicken raised for its meat,animals - other
bibi malae nia fulun,wool,animals - other
fuik,"wild; uninhabited,vacant,empty of people",animals - other
grupu,"group (mainly of people),flock,school (of fish)",animals - other
inan2,female (of animal),animals - other
kokoreko,cock-a-doodle-do (sound of rooster crowing),animals - other
rasa,race (of people); breed (of animals),animals - other
fulun,"body hair,fur,wool (on sheep),mane (of horse); feather; tassle on corn cob; fluff","animals - parts,body parts"
manu kelen,drumstick (chicken thigh),"animals - parts,food"
liras,"wing (of bird,insect,aeroplane...)","animals - parts,vehicles - parts"
delun2,spur,animals - parts
dikur,horn (of animal),animals - parts
ikun,tail,animals - parts
kakaluk1,"craw,crop (of bird)",animals - parts
karau teen,"buffalo manure,dung",animals - parts
laho teen,mouse/rat dropping,animals - parts
manu delun,spur (of rooster; the backward claw to which the weapon is tied in a cockfight),animals - parts
manu fulun,feather,animals - parts
sapatu2,hoof,animals - parts
karau atan,buffalo herder,animals - people
veterináriu,"veterinary doctor,veterinarian",animals - people
hakiak,"raise,rear (children,animals),keep (animals),breed; adopt","animals - processes,kinship - processes"
dorus,miscarry (of animals),animals - processes
hatenu,bark (of dog),animals - processes
hein,"wait; wait for,await; guard,look after",animals - processes
kapa2,"castrate,geld",animals - processes
kasa,"hunt (wild animals,birds)",animals - processes
kokoreek,crow (of rooster),animals - processes
kokoteek,cluck (of hen),animals - processes
luut,brood (sit on eggs; some also include sitting on the chicks),animals - processes
sulan,"put a stopper in; confine,enclose,put (esp. animals) into an enclosure",animals - processes
animál,animal,animals
asu,dog,animals
asu aman,male dog,animals
asu inan,bitch (female dog),animals
asu oan,"pup,puppy",animals
balada,animal,animals
bibi,"goat,sheep",animals
bibi aman,"billy-goat,ram",animals
bibi inan,"nanny-goat,ewe",animals
bibi malae,sheep,animals
bibi oan,"kid (baby goat),lamb",animals
bibi rusa,deer,animals
bibi Timor,goat (as opposed to a sheep),animals
busa,cat,animals
busa aman,tomcat,animals
busa inan,she-cat,animals
busa oan,kitten,animals
elefante,elephant,animals
fahi,pig,animals
fahi aman,boar (male pig),animals
fahi fuik,"wild pig,boar",animals
fahi inan,sow (female pig),animals
fahi oan,piglet,animals
foho-rai,python,animals
kamelu,camel,animals
karau,"buffalo,water buffalo; cattle",animals
karau aman,bull,animals
karau baka,Bali cattle (red beef cattle),animals
karau inan,cow,animals
karau oan,calf,animals
karau susubeen,"dairy cow,dairy cattle",animals
karau Timor,"buffalo,water buffalo",animals
kobra2,cobra,animals
koelyu,"rabbit,hare",animals
kuda2,horse,animals
kuda aman,stallion,animals
kuda buru,"donkey,ass",animals
kuda inan,mare,animals
kuda kamelu,camel,animals
kuda oan,foal,animals
lafaek,crocodile,animals
lafaek rai maran,kind of lizard (about .5 metre long),animals
lafaek tasi,saltwater crocodile,animals
laho,"mouse,rat,rodent",animals
lakataru,caterpillar,animals
laku,"civet,civet cat",animals
lekirauk,monkey,animals
lenuk,"turtle,tortoise",animals
lenuk rai maran,tortoise,animals
lenuk tasi,(sea) turtle,animals
liaun,lion,animals
manduku,"frog,toad",animals
manduku Interfet,Asian black-spined toad,animals
meda,"cuscus,possum",animals
naga2,dragon,animals
niki,"bat,flying fox",animals
reptil,reptile,animals
rusa,deer,animals
samea,snake,animals
samea tasi,sea snake,animals
samodok,poisonous green snake,animals
teki,gecko (kind of small house lizard),animals
teki liras,winged lizard,animals
toke,kind of lizard that makes a loud noise,animals
batalyaun,battalion,"army - other,police - other"
ABRI,Armed Forces of the Republic of Indonesia (including police),army - other
ai funan,pip (rank),army - other
akampamentu,"campsite,camp",army - other
diviza,"rank (military,police)",army - other
FALINTIL-FDTL,East Timorese Defence Force; member of the East Timor Defence Force,army - other
FDTL,East Timorese Defence Force; member of the East Timor Defence Force,army - other
F-FDTL,East Timorese Defence Force; member of the East Timor Defence Force,army - other
formatura,"(military-style) formation,in rows",army - other
forsa2,"(military) forces,troops",army - other
forsa defeza,defence force,army - other
Forsa Defeza de Timor Leste,East Timorese Defence Force; member of the East Timor Defence Force,army - other
forsas armadas,"armed forces,the services",army - other
kuartél,barracks,army - other
kuartél jerál,headquarters,army - other
okupasaun,"occupation (esp. by foreign forces,by illegal occupants)",army - other
TNI,Indonesian National Army,army - other
kompanyia,"(military/police/business) company,firm","army - people,economics"
komandante,(military/police) commander,"army - people,police - people,profession"
marineiru,sailor (especially in the navy),"army - people,profession"
militár,soldier,"army - people,profession"
soldadu,soldier,"army - people,profession"
kapitaun,captain,"army - people,sport"
asuwain,hero,army - people
brigadeiru,brigadier,army - people
brigadeiru jenerál,brigadier general,army - people
buihuu,"female Timorese informer to the Indonesians,spy",army - people
eroi,hero,army - people
inimigu,enemy,army - people
jenerál,(army) general,army - people
liman kroat,armed forces,army - people
majór,(army) major,army - people
majór jenerál,major general,army - people
mauhuu,"male Timorese informer to the Indonesians,spy",army - people
milísia,militia,army - people
parakedista,parachutist,army - people
soldadu prontu,private (soldier without rank),army - people
TBO,Indonesian soldiers' assistant (Fn:tenaga tenaga Fn:bantuan bantuan Fn:operasional)operasional),army - people
tenente,lieutenant,army - people
tropas,"army,soldier",army - people
veteranu,veteran,army - people
xefi estadu maiór,chief of staff,army - people
avestrús,ostrich,birds
falur,"dove,pigeon",birds
kakatua,cockatoo,birds
kakoak,kind of bird (named after its cry),birds
kakuuk,owl,birds
kawaa,crow (bird),birds
lakateu,turtledove,birds
loriku,lorikeet,birds
makikit,"eagle,hawk,kite",birds
manu1,,birds
manu aman,"rooster,cock",birds
manu buan,owl,birds
manu falur,"dove,pigeon",birds
manu fuik,(wild) bird,birds
manu futu,fighting cock,birds
manu inan,hen,birds
manu kiukai,quail,birds
manu liin,tiny bird which destroys rice crops,birds
manu metan,crow (bird),birds
manu oan,chick,birds
manu pombu,"dove,pigeon",birds
manu rade,"duck,water bird",birds
ai hean,"paddle,oar",boats and boating
ankor,anchor,boats and boating
barkasa,kind of boat,boats and boating
bero,"small boat,canoe,dinghy",boats and boating
hean,,boats and boating
kora-kora,canoe,boats and boating
kose,"wipe,wipe down; brush; scrub; sponge down; rub in,spread; scrape against,graze against; paddle",boats and boating
laan,sail,boats and boating
layar,"screen,sail",boats and boating
roo,"boat,ship,launch,ferry",boats and boating
roo ahi,"motorboat,ship,launch",boats and boating
oin namkurut,"body. wrinkled,have a wrinkled face; scowl","body descriptions,expressions"
bokur,"adj n. fat (of person,animals)","body descriptions,health - signs and symptoms,agriculture - other"
bokur-teen,fat (person),"body descriptions,health - signs and symptoms"
isin boot,"body. large (muscly,fat),big-boned (of person)","body descriptions,health - signs and symptoms"
isin forte,body. physically strong,"body descriptions,health - signs and symptoms"
isin kamada,"healthy fat,big and healthy","body descriptions,health - signs and symptoms"
isin lotuk,"body. slim,slender,trim (of person)","body descriptions,health - signs and symptoms"
kabun boot,body. have a large belly,"body descriptions,health - signs and symptoms"
kabun tasak,"body. pot-bellied,have a pot-belly","body descriptions,health - signs and symptoms"
kabun-teek,"pot-bellied,have a large stomach","body descriptions,health - signs and symptoms"
krekas,"thin,skinny","body descriptions,health - signs and symptoms"
matan bubu,body. have swollen eyes,"body descriptions,health - signs and symptoms"
tuuk,"dwarf; stump (of amputated limb),very short (of limb)","body descriptions,health - signs and symptoms"
ulun molik,body. bald,"body descriptions,health - signs and symptoms"
ain aas,body. tall (of person),body descriptions
ain badak,"body. short (of person),short-legged",body descriptions
ain tanan,body. barefoot,body descriptions
bonitu,handsome (of men and boys),body descriptions
brasu,"muscly,have big biceps",body descriptions
isin luan,"body. naked,nude",body descriptions
isin molik,"body. naked,nude; bare-chested",body descriptions
kabosu,"plump,cuddly,cute (esp. of infants,puppies)",body descriptions
kakorok dalas,"body. have a double chin,have rings of fat on one's neck",body descriptions
kamada,"healthy fat,big and healthy",body descriptions
kanotak mamar,body. supple,body descriptions
liman moos,have clean hands,body descriptions
molik,"bare (land,body),barren (land),naked,nude",body descriptions
nehan sai,"body. new teeth come up; have rabbit teeth,teeth stick out; teeth show (e.g. as smiling)",body descriptions
oin aat,body. ugly (of person's face),body descriptions
oin bonitu/a,body. have a beautiful face,body descriptions
oin diak,body. good-looking (face),body descriptions
oin kabuar,body. round-faced,body descriptions
oin kapaas,"body. beautiful,pretty,handsome (in the face)",body descriptions
ríns mamar,body. supple,body descriptions
ríns toos,"body. stiff,not supple (e.g. unable to learn dancing well)",body descriptions
kabuk,"pregnant (for animals,rude for people)","body functions,animals - other"
hahoris,"give birth to (primarily for animals,somewhat impolite for people)","body functions,animals - processes"
tata,bite; sting,"body functions,animals - processes"
mii,"v. urinate,piss,wee","body functions,water and sanitation"
arota,,body functions
bosu,full (from eating),body functions
dukur,"asleep,sleep",body functions
fani,sneeze,body functions
foo susu,breastfeed,body functions
hakmumu,"v. rinse one's mouth,suck on",body functions
hamlaha,hungry,body functions
hamrook,thirsty,body functions
hosu,"v. fart,break wind",body functions
iis boot,body,body functions
isin fulun hamriik,body. have goosebumps,body functions
isin rua,"body. pregnant,expecting",body functions
kosar,"n sweat,perspire",body functions
matan dukur,"body. feel sleepy,drowsy",body functions
matan moos,"body. wide awake,alert",body functions
mens,"menstruate,have a period",body functions
menstruasaun,"menstruation,period",body functions
motok,hiccough,body functions
muta,"vomit,throw up,bring up (food)",body functions
nakoron,snore,body functions
nanaal naruk,body. puffing with tongue hanging out,body functions
nata,chew,body functions
nesik,choke,body functions
partu,give birth,body functions
piska1,"blink,flash,twinkle",body functions
ruun,chew (using back teeth),body functions
susu,"suck,suckle,be breastfed",body functions
tafui,"spit,spit out",body functions
tee,"v. defecate,(rude) shit",body functions
tolan,swallow,body functions
tuur ahi,give birth,body functions
maten1,corpse (of animal that died without being slaughtered),"body parts,animals - other,death"
liman,"hand,arm; sleeve; outrigger; front paw; claw (of prawn,crab...); long handle","body parts,animals - parts,boats and boating"
ain,"foot,leg; paw","body parts,animals - parts"
ibun,"mouth,beak,snout; edge (of road),bank (of river),shore; lip (of pot)","body parts,animals - parts"
susun,"breast,udder","body parts,animals - parts"
tilun,"ear; round handle (e.g. of cup,saucepan); fin","body parts,animals - parts"
mate isin,corpse (of human),"body parts,death"
mate ruin,skeleton,"body parts,death"
raan mutin,vaginal discharge,"body parts,health - signs and symptoms"
ulun,"head; boss; deck,pack (of cards)","body parts,profession,politics - other,cards"
teen2,"excrement,dung,manure,dropping,faeces","body parts,water and sanitation,animals - parts"
iis,breath,"body parts,water and sanitation"
ain fuan,toe,body parts
ain fuan boot,big toe,body parts
ain fuan ikun,little toe,body parts
ain fuan inan,big toe,body parts
ain fuan kiik,little toe,body parts
ain fuan klaran,middle toes,body parts
ain fuan sanak,sixth toe,body parts
ain kabun,calf (of leg),body parts
ain kloor,the back of the knee,body parts
ain kukun,toenail,body parts
ain laran,sole (of foot),body parts
ain ruin,shin,body parts
ain sanak,sixth toe,body parts
ain tuban,heel (of foot),body parts
ain tuur,knee,body parts
anus,anus,body parts
apéndise,appendix,body parts
aten,liver,body parts
aten book,lungs,body parts
baboton,fontanel,body parts
been tasak,pus,body parts
estadu2,pregnant,body parts
fuan1,"heart (the physical organ),cardiac",body parts
fukun,"joint (e.g. ankle,toe wrist and knuckle joints)",body parts
fuuk,hair of head,body parts
garganta,,body parts
hasan,cheek,body parts
hasan rahun,"facial hair,beard,moustache,whiskers",body parts
hirus matan,"chest,breast",body parts
hitin,lap,body parts
huin,cunt (offensive term for 'vagina'),body parts
husar,"navel,belly button,umbilicus",body parts
husar talin,umbilical cord,body parts
ibun kulit,lip,body parts
inus,nose,body parts
inus been,"runny snot,nasal mucus",body parts
inus kain,nose ridge,body parts
inus kuak,nostril,body parts
inus teen,hard snot,body parts
isin fulun,body hair,body parts
isin lolon,body (of person),body parts
kaan2,"afterbirth,placenta",body parts
kabaas,shoulder,body parts
kabeen,"dribble,saliva,spittle,spit",body parts
kabeen tasak,phlegm,body parts
kabun,"stomach (inside and outside),belly; differently-patterned panel within a sarong",body parts
kakorok,"neck,throat",body parts
kakorok fukun,Adam's apple,body parts
kakorok talin,throat,body parts
kakutak,"brain,mind",body parts
kalilin,armpit,body parts
kanoruk,"nape,back of the neck",body parts
kanosen,ribs,body parts
kanotak,waist,body parts
kelen,thigh,body parts
kidan,"hip and upper buttock,haunch",body parts
kidun,"bottom,backside",body parts
kidun kuak,"arsehole (mainly used as a swear word,not to refer to a body part)",body parts
kidun matan,anus,body parts
kidun tahan,buttocks,body parts
kosar been,"sweat,perspiration",body parts
kotuk,"nloc. back (waist to neck); behind,rear; previous; last (year...); the past (two weeks...)",body parts
kotuk laran,back (waist to neck),body parts
kukun,finger/toe nail; claw,body parts
kulit,"skin,leather,hide,pelt; peel,bark; cover (of book),shell",body parts
laran,"nloc. inside; heart (as the seat of emotions and character),mind",body parts
lasan,penis,body parts
liman fuan,finger,body parts
liman fuan boot,thumb,body parts
liman fuan hatudu,index finger,body parts
liman fuan ikun,"little finger,pinkie",body parts
liman fuan inan,thumb,body parts
liman fuan kadeli,ring finger,body parts
liman fuan kiik,"little finger,pinkie",body parts
liman fuan klaran,middle finger,body parts
liman fuan sanak,sixth finger,body parts
liman karuk,left hand; left (direction),body parts
liman kukun,fingernail,body parts
liman laran,palm (of hand),body parts
liman loos,right hand; right (direction),body parts
liman sikun,elbow,body parts
mamiik,(urinary) bladder,body parts
manu raan,wart,body parts
matan,eye,body parts
matan been,tear (from the eye),body parts
matan fuan,eyeball,body parts
matan fukun,bone under the eyebrow,body parts
matan fulun,,body parts
matan ikun,outer side of eye,body parts
matan musan,eyeball,body parts
matan teen,sleep (in the eyes),body parts
naga1,birthmark,body parts
nanaal,tongue,body parts
nehan,tooth,body parts
nehan abut,root of tooth,body parts
nehan isin,gum(s),body parts
neon1,mind,body parts
oan fatin,"womb,uterus",body parts
oin,"nloc. face,front; type,kind,sort; next (year...)",body parts
oin lulik,"private parts,genitals",body parts
ook,spleen,body parts
peitu,pectoral muscle,body parts
penis,penis,body parts
pulmaun,lungs,body parts
raan,blood,body parts
reen toos,forehead,body parts
relasaun seksuál,"sexual intercourse,sexual relations",body parts
ríns,kidney,body parts
ruin,bone,body parts
ruin kotuk,"spine,backbone,spinal column",body parts
sasaan lulik,"private parts,genitals",body parts
susun matan,"nipple,teat",body parts
tee fatin,anus,body parts
tee oan,intestines,body parts
tee oan boot,large intestine,body parts
tee oan kiik,small intestine,body parts
teen1,intestines,body parts
teen boot,large intestine,body parts
teen kiik,small intestine,body parts
tilun been,discharge from ears,body parts
tilun huun,behind one's ears,body parts
tilun kuak,ear-hole,body parts
tilun tahan,ear (outer visible part),body parts
tilun teen,ear wax,body parts
uat,,body parts
ulun fatuk,"head; skull,cranium",body parts
ulun fatuk ruin,skull (without flesh on it),body parts
vajina,vagina,body parts
baktéria,bacteria,"bugs,causes of illness,water and sanitation"
kutun,"flea; louse,lice","bugs,causes of illness"
ular,"crawling creatures,including worms,grubs,centipedes,and caterpillars","bugs,water and sanitation,causes of illness"
asu kutun,flea,bugs
bani,bee,bugs
barata,cockroach,bugs
borboleta,"butterfly,moth",bugs
dihi,wasp,bugs
fuhuk,weevil,bugs
gafanyotu,"grasshopper,locust",bugs
grilu,cricket (insect),bugs
insetu,insect,bugs
karakól,snail,bugs
labadain,spider; spiderweb,bugs
lalar1,fly,bugs
nati,bedbug,bugs
nehek,ant,bugs
pirilampu,firefly,bugs
sakunar,scorpion,bugs
sigara,cicada,bugs
sintupeia,centipede,bugs
susuk,mosquito,bugs
tekilili,dragonfly,bugs
ular katar,itchy grub,bugs
ular metan,leech,bugs
ular oan,"small worm,grub,maggot,larvae",bugs
ular susu raan,leech,bugs
utu,"headlouse,head lice",bugs
tahan2,"cls. classifier for counting thin flat objects such as paper,roofing iron,masonite,or playing cards. Some (mainly outside of Dili) use it for clothes","building - other,office equipment"
andár,"storey,floor; tier",building - other
naksobu,"come apart,fall apart,demolished,unravel,collapse",building - other
uma andár,multi-storey building,building - other
taka,"close,shut; block; cover,patch (e.g. a tyre); put on,wear (a hat); stick on (a sticker,poster...); turn off","building - processes,health - procedures"
tesi,"chop,sever,cut across the width","building - processes,health - procedures"
sukat,measure,"building - processes,water and sanitation,size"
hadia,"repair,fix,make right,reform","building - processes,water and sanitation"
monta,"set up,install,fit,assemble (parts); hang (a door/window)","building - processes,water and sanitation"
atera,fill holes with dirt to level the ground,building - processes
fera,split,building - processes
futu,tie into bundles; bind,building - processes
hada,"stack,lay (bricks)",building - processes
halo,"vt v-atu. make,build,create; cause; do",building - processes
harii,"set up,raise (to a vertical position); establish,found,form; erect,build",building - processes
instalasaun,installation,building - processes
konstrusaun,construction,building - processes
liga,"join,connect; relate to,have a good relationship with",building - processes
loke,"open; turn on; take off,remove (a covering)",building - processes
nahe,"spread out (a cloth/mat over a flat surface); lay (tiles,cement)",building - processes
pika,chisel out,building - processes
pinta,"paint,draw",building - processes
prega,"nail; button up,do up (a button)",building - processes
reabilitasaun,rehabilitation,building - processes
reboka,plaster (a wall),building - processes
rehab,rehabilitate (buildings),building - processes
sobu,"take to pieces,dismantle,demolish,break up,pull apart",building - processes
taa,"chop (with an axe or machette),fell (tree)",building - processes
saku,"bag,sack","building materials and equipment,agriculture - equipment"
tali tahan,tali palm leaf (eg. used for thatching),"building materials and equipment,plant parts"
vidru,"glass; window pane,window (of vehicle),louvre","building materials and equipment,vehicles - parts"
materiál,"equipment,materials (for building,education,etc.; not 'cloth')","building materials and equipment,water and sanitation,health - equipment"
besi,iron; metal,"building materials and equipment,water and sanitation"
zinku,"corrugated iron,roofing iron","building materials and equipment,water and sanitation"
ai kabelak,"plank,board",building materials and equipment
aldame,scaffolding,building materials and equipment
azuleju,glazed tile (used on floor or wall),building materials and equipment
bebak,stalk of palm leaves used to build house walls,building materials and equipment
besi asu,,building materials and equipment
blok,cement block,building materials and equipment
fatuk rahun,gravel,building materials and equipment
fiu,"wire,cable",building materials and equipment
goma lakan,(wood) varnish,building materials and equipment
paralón,plastic pipe,building materials and equipment
piku,"prefabricated panel made of bebak (palm leaf stalks),used to build walls",building materials and equipment
rota,cane (e.g. for hitting someone),building materials and equipment
sementi,"cement,concrete,plaster (for walls)",building materials and equipment
sementi rahun,cement (in powder form),building materials and equipment
sementi uut,cement (in powder form),building materials and equipment
telya,roof tile,building materials and equipment
tijolu,brick,building materials and equipment
triplek,plywood,building materials and equipment
foru,"ceiling,lining","building parts,clothes - parts"
eskada,"stairs,steps,staircase; ladder","building parts,tools - types"
sentina,toilet,"building parts,water and sanitation"
ai laras,roof beam (going from the roof top down to the bottom of the roof),building parts
ai latan,(horizontal) roof beam,building parts
ai riin,"wooden post,pole",building parts
aliserse,foundations (of building),building parts
andár leten,top floor,building parts
andár okos,ground floor,building parts
arus,(door or window) frame,building parts
baki,low outside wall,building parts
despensa,"pantry,larder",building parts
didin,"wall (of palm-leaf stalks,wood,plywood or bamboo)",building parts
didin lolon,wall,building parts
dobralisa,hinge,building parts
fondasi,foundations (of building),building parts
janela,window,building parts
kakuluk,roof; top ridge of roof,building parts
kuartu1,"bedroom,room",building parts
lutu1,"fence,hedge",building parts
moru,high perimeter wall around a property or estate (made of blocks or bricks),building parts
odamatan,"door; gate,entrance",building parts
odamatan kotuk,back door,building parts
odamatan oin,front door,building parts
paredi,wall made of bricks/block/plaster,building parts
portaun,gate,building parts
riin,"post,pole",building parts
sala2,"room,hall,classroom,schoolroom",building parts
sala vizita,"lounge,front room (room at the front of a house where visitors are received)",building parts
uma huun,"yard,land around a house,agricultural plot next to a house",building parts
uma kakuluk,"roof; ridge cap,top ridge of roof",building parts
uma laran,household; domestic,building parts
uma tatiis,eaves,building parts
varanda,"verandah,balcony",building parts
uma laleo,small hut on a farm or in rice fields,"building types,agriculture - other"
apartamentu,apartment,building types
baraka,"hut,temporary shelter",building types
kos,"lodging,rented room to live in",building types
palásiu,"large governmnent building (the president's palace,and government house)",building types
rezidénsia,residence,building types
tenda,"tent,temporary shelter",building types
uma1,"house,building,home",building types
uma duut,house with thatched grass roof,building types
uma mutin,modern block house,building types
uma tali,house with thatched palm-leaf roof,building types
aas2,ace (in cards),cards
espada,spades (in cards),cards
joker,joker (in cards),cards
karta,(playing) card,cards
kondi,jack (in cards),cards
kopas,hearts (in cards),cards
makaku3,joker (in cards),cards
nona,queen (in cards),cards
ouru,diamonds (in cards),cards
paus,clubs (in cards),cards
lalin,"ferry,go to and fro fetching (people or things)","carry,building - processes"
tula,"place (on something high),load,take luggage on (vehicle),transport,give a lift to (a person),carry (as a load on the shoulder)","carry,building - processes"
kaer,"grasp,hold; seize,catch; capture,arrest; manage,control; drive (a vehicle)","carry,police - other"
haklilin,carry under the arm by a strap over one shoulder,carry
haklulu,carry on one's back held by a strap around one's forehead,carry
hasaan,carry on one's shoulders,carry
hiit,lift (by handle or by a strap),carry
hiti,hold on lap,carry
hodi1,"bring,carry; use,drive",carry
hulan,carry on shoulders,carry
kahe,drape (a cloth over something) leaving each end dangling,carry
kateu,piggyback,carry
kele,carry (child) in the folds of a sarong,carry
kous,"cradle,cuddle,hold or carry against one's belly or breast",carry
leba,carry (something) suspended from (one or both ends of) a pole carried across the shoulder,carry
lori,"carry; bring,take; lead; bear (suffering,blame,...); use; in (a language); drive (a vehicle); take (time),dribble (a ball)",carry
tane,"hold hands palm-up,hold on open hand; support",carry
tutur,carry on head,carry
asidente,"accident,mishap",causes of illness
veneno,"poison,venom",causes of illness
virus,"virus (biological,computer)",causes of illness
pasivu,passive (sentence; person),"character,linguistics"
naok-teen,"thief,robber","character,profession"
ahu nain,"thief who habitually steals from houses,using magic based on lime to prevent the occupants from being able to catch him",character
ambisaun,ambition,character
ambisiozu,adj vcomp. ambitious (esp. unrealistically so),character
aten brani,"body. courageous,brave,daring",character
badinas,"hard-working,diligent",character
baku door ema,"violent person,who likes bashing people up",character
bandidu,ruffian,character
baruk-teen,lazybones (person who is habitually lazy),character
beik,"stupid,foolish; slow learner,dumb,uneducated; ill-mannered,unwise,ignorant",character
beik-teen,"idiot,ignorant,stupid,dummy",character
bosok-teen,habitual liar,character
brani,"adj bold,daring,courageous,brave,audacious; forward,have gall",character
