bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
toke  ,n. 1 • kind of lizard that makes a loud noise. ,Category: animals.
batalyaun  ,n. battalion. ,"Category: army - other, police - other."
ABRI  ,n. Armed Forces of the Republic of Indonesia (including police). ,Category: army - other.
ai funan  ,n. pip (rank). ,Category: army - other.
akampamentu  ,"n. campsite, camp. ",Category: army - other.
diviza  ,"n. rank (military, police). ",Category: army - other.
FALINTIL-FDTL  ,n abbrev. East Timorese Defence Force; member of the East Timor Defence Force. ,Category: army - other.
FDTL  ,n. East Timorese Defence Force; member of the East Timor Defence Force. ,Category: army - other.
F-FDTL  ,n abbrev. East Timorese Defence Force; member of the East Timor Defence Force. ,Category: army - other.
formatura  ,"n. (military-style) formation, in rows. ",Category: army - other.
forsa2  ,"n. (military) forces, troops. ",Category: army - other.
forsa defeza  ,n. defence force. ,Category: army - other.
Forsa Defeza de Timor Leste  ,n. East Timorese Defence Force; member of the East Timor Defence Force. ,Category: army - other.
forsas armadas  ,"n. armed forces, the services. ",Category: army - other.
kuartél  ,n. barracks. ,Category: army - other.
kuartél jerál  ,n. headquarters. ,Category: army - other.
okupasaun  ,"n. occupation (esp. by foreign forces, by illegal occupants). ",Category: army - other.
TNI  ,n. Indonesian National Army. ,Category: army - other.
kompanyia  ,"n. (military/police/business) company, firm. ","Category: army - people, economics."
komandante  ,n. (military/police) commander. ,"Category: army - people, police - people, profession."
marineiru  ,n. sailor (especially in the navy). ,"Category: army - people, profession."
militár  ,1 • n. soldier. ,"Category: army - people, profession."
soldadu  ,n. soldier. ,"Category: army - people, profession."
kapitaun  ,n. captain. ,"Category: army - people, sport."
asuwain  ,n. hero. ,Category: army - people.
brigadeiru  ,n. brigadier. ,Category: army - people.
brigadeiru jenerál  ,n. brigadier general. ,Category: army - people.
buihuu  ,"n. female Timorese informer to the Indonesians, spy. ",Category: army - people.
eroi  ,n. hero. ,Category: army - people.
inimigu  ,n. enemy. ,Category: army - people.
jenerál  ,n. (army) general. ,Category: army - people.
liman kroat  ,n. 1 • armed      forces. ,Category: army - people.
majór  ,n. (army) major. ,Category: army - people.
majór jenerál  ,n. major general. ,Category: army - people.
mauhuu  ,"n. male Timorese informer to the Indonesians, spy. ",Category: army - people.
milísia  ,n. militia. ,Category: army - people.
parakedista  ,n. parachutist. ,Category: army - people.
soldadu prontu  ,n. private (soldier without rank). ,Category: army - people.
TBO  ,abbrev. Indonesian soldiers' assistant (Fn:tenaga tenaga Fn:bantuan bantuan Fn:operasional)operasional). ,Category: army - people.
tenente  ,n. lieutenant. ,Category: army - people.
tropas  ,"n. army, soldier. ",Category: army - people.
veteranu  ,n. veteran. ,Category: army - people.
xefi estadu maiór  ,n. chief of staff. ,Category: army - people.
avestrús  ,n. ostrich. ,Category: birds.
falur  ,"n. dove, pigeon. ",Category: birds.
kakatua  ,n. cockatoo. ,Category: birds.
kakoak  ,n. kind of bird (named after its cry). ,Category: birds.
kakuuk  ,n. owl. ,Category: birds.
kawaa  ,n. crow (bird). ,Category: birds.
lakateu  ,n. turtledove. ,Category: birds.
loriku  ,n. lorikeet. ,Category: birds.
makikit  ,"n. eagle, hawk, kite. ",Category: birds.
manu1  ,n.  ,Category: birds.
manu aman  ,"n. rooster, cock. ",Category: birds.
manu buan  ,n. owl. ,Category: birds.
manu falur  ,"n. dove, pigeon. ",Category: birds.
manu fuik  ,n. (wild) bird. ,Category: birds.
manu futu  ,n. fighting cock. ,Category: birds.
manu inan  ,n. hen. ,Category: birds.
manu kiukai  ,n. quail. ,Category: birds.
manu liin  ,n. tiny bird which destroys rice crops. ,Category: birds.
manu metan  ,n. crow (bird). ,Category: birds.
manu oan  ,n. 1 • chick. ,Category: birds.
manu pombu  ,"n. dove, pigeon. ",Category: birds.
manu rade  ,"n. duck, water bird. ",Category: birds.
ai hean  ,"n. paddle, oar. ",Category: boats and boating.
ankor  ,n. anchor. ,Category: boats and boating.
barkasa  ,n. kind of boat. ,Category: boats and boating.
bero  ,"n. small boat, canoe, dinghy. ",Category: boats and boating.
hean  ,vt.  ,Category: boats and boating.
kora-kora  ,n. canoe. ,Category: boats and boating.
kose  ,"vt. wipe, wipe down; brush; scrub; sponge down; rub in, spread; scrape against, graze against; paddle. ",Category: boats and boating.
laan  ,n. sail. ,Category: boats and boating.
layar  ,"n. screen, sail. ",Category: boats and boating.
roo  ,"n. boat, ship, launch, ferry. ",Category: boats and boating.
roo ahi  ,"n. motorboat, ship, launch. ",Category: boats and boating.
oin namkurut  ,"body. wrinkled, have a wrinkled face; scowl. ","Category: body descriptions, expressions."
bokur  ,"1 • adj n. fat (of person, animals). ","Category: body descriptions, health - signs and symptoms, agriculture - other."
bokur-teen  ,adj. fat (person). ,"Category: body descriptions, health - signs and symptoms."
isin boot  ,"body. large (muscly, fat), big-boned (of person). ","Category: body descriptions, health - signs and symptoms."
isin forte  ,body. physically strong. ,"Category: body descriptions, health - signs and symptoms."
isin kamada  ,"n. healthy fat, big and healthy. ","Category: body descriptions, health - signs and symptoms."
isin lotuk  ,"body. slim, slender, trim (of person). ","Category: body descriptions, health - signs and symptoms."
kabun boot  ,body. have a large belly. ,"Category: body descriptions, health - signs and symptoms."
kabun tasak  ,"body. pot-bellied, have a pot-belly. ","Category: body descriptions, health - signs and symptoms."
kabun-teek  ,"adj. pot-bellied, have a large stomach. ","Category: body descriptions, health - signs and symptoms."
krekas  ,"adj. thin, skinny. ","Category: body descriptions, health - signs and symptoms."
matan bubu  ,body. have swollen eyes. ,"Category: body descriptions, health - signs and symptoms."
tuuk  ,"adj. dwarf; stump (of amputated limb), very short (of limb). ","Category: body descriptions, health - signs and symptoms."
ulun molik  ,body. bald. ,"Category: body descriptions, health - signs and symptoms."
ain aas  ,body. tall (of person). ,Category: body descriptions.
ain badak  ,"body. short (of person), short-legged. ",Category: body descriptions.
ain tanan  ,body. barefoot. ,Category: body descriptions.
bonitu  ,adj. handsome (of men and boys). ,Category: body descriptions.
brasu  ,"1 • adj. muscly, have big biceps. ",Category: body descriptions.
isin luan  ,"body. naked, nude. ",Category: body descriptions.
isin molik  ,"body. naked, nude; bare-chested. ",Category: body descriptions.
kabosu  ,"adj. plump, cuddly, cute (esp. of infants, puppies). ",Category: body descriptions.
kakorok dalas  ,"body. have a double chin, have rings of fat on one's neck. ",Category: body descriptions.
kamada  ,"adj. healthy fat, big and healthy. ",Category: body descriptions.
kanotak mamar  ,body. supple. ,Category: body descriptions.
liman moos  ,1 • have clean hands. ,Category: body descriptions.
molik  ,"adj. bare (land, body), barren (land), naked, nude. ",Category: body descriptions.
nehan sai  ,"body. new teeth come up; have rabbit teeth, teeth stick out; teeth show (e.g. as smiling). ",Category: body descriptions.
oin aat  ,body. ugly (of person's face). ,Category: body descriptions.
oin bonitu/a  ,body. have a beautiful face. ,Category: body descriptions.
oin diak  ,body. good-looking (face). ,Category: body descriptions.
oin kabuar  ,body. round-faced. ,Category: body descriptions.
oin kapaas  ,"body. beautiful, pretty, handsome (in the face). ",Category: body descriptions.
ríns mamar  ,body. supple. ,Category: body descriptions.
ríns toos  ,"body. stiff, not supple (e.g. unable to learn dancing well). ",Category: body descriptions.
kabuk  ,"adj. pregnant (for animals, rude for people). ","Category: body functions, animals - other."
hahoris  ,"vt. give birth to (primarily for animals, somewhat impolite for people). ","Category: body functions, animals - processes."
tata  ,vt. bite; sting. ,"Category: body functions, animals - processes."
mii  ,"1 • v. urinate, piss, wee. ","Category: body functions, water and sanitation."
arota  ,vi.  ,Category: body functions.
bosu  ,adj. full (from eating). ,Category: body functions.
dukur  ,"adj. asleep, sleep. ",Category: body functions.
fani  ,v. sneeze. ,Category: body functions.
foo susu  ,vt. breastfeed. ,Category: body functions.
hakmumu  ,"v. rinse one's mouth, suck on. ",Category: body functions.
hamlaha  ,1 • adj. hungry. ,Category: body functions.
hamrook  ,vi. thirsty. ,Category: body functions.
hosu  ,"v. fart, break wind. ",Category: body functions.
iis boot  ,body.  ,Category: body functions.
isin fulun hamriik  ,body. have goosebumps. ,Category: body functions.
isin rua  ,"body. pregnant, expecting. ",Category: body functions.
kosar  ,"n vi. sweat, perspire. ",Category: body functions.
matan dukur  ,"body. feel sleepy, drowsy. ",Category: body functions.
matan moos  ,"body. 1 • wide awake, alert. ",Category: body functions.
mens  ,"vi. menstruate, have a period. ",Category: body functions.
menstruasaun  ,"n. menstruation, period. ",Category: body functions.
motok  ,v. hiccough. ,Category: body functions.
muta  ,"v n. vomit, throw up, bring up (food). ",Category: body functions.
nakoron  ,vi. snore. ,Category: body functions.
nanaal naruk  ,body. puffing with tongue hanging out. ,Category: body functions.
nata  ,vt. chew. ,Category: body functions.
nesik  ,vi. choke. ,Category: body functions.
partu  ,n. give birth. ,Category: body functions.
piska1  ,"vt. blink, flash, twinkle. ",Category: body functions.
ruun  ,vt. chew (using back teeth). ,Category: body functions.
susu  ,"vt. suck, suckle, be breastfed. ",Category: body functions.
tafui  ,"vt. spit, spit out. ",Category: body functions.
tee  ,"1 • v. defecate, (rude) shit. ",Category: body functions.
tolan  ,vt. swallow. ,Category: body functions.
tuur ahi  ,vti. give birth. ,Category: body functions.
maten1  ,n. corpse (of animal that died without being slaughtered). ,"Category: body parts, animals - other, death."
liman  ,"n. hand, arm; sleeve; outrigger; front paw; claw (of prawn, crab...); long handle. ","Category: body parts, animals - parts, boats and boating."
ain  ,"n. foot, leg; paw. ","Category: body parts, animals - parts."
ibun  ,"n. mouth, beak, snout; edge (of road), bank (of river), shore; lip (of pot). ","Category: body parts, animals - parts."
susun  ,"n. breast, udder. ","Category: body parts, animals - parts."
tilun  ,"n. ear; round handle (e.g. of cup, saucepan); fin. ","Category: body parts, animals - parts."
mate isin  ,n. corpse (of human). ,"Category: body parts, death."
mate ruin  ,n. 1 • skeleton. ,"Category: body parts, death."
raan mutin  ,n. vaginal discharge. ,"Category: body parts, health - signs and symptoms."
ulun  ,"n. head; boss; deck, pack (of cards). ","Category: body parts, profession, politics - other, cards."
teen2  ,"n. 1 • excrement, dung, manure, dropping, faeces. ","Category: body parts, water and sanitation, animals - parts."
iis  ,1 • n. breath. ,"Category: body parts, water and sanitation."
ain fuan  ,n. toe. ,Category: body parts.
ain fuan boot  ,n. big toe. ,Category: body parts.
ain fuan ikun  ,n. little toe. ,Category: body parts.
ain fuan inan  ,n. big toe. ,Category: body parts.
ain fuan kiik  ,n. little toe. ,Category: body parts.
ain fuan klaran  ,n. middle toes. ,Category: body parts.
ain fuan sanak  ,n. sixth toe. ,Category: body parts.
ain kabun  ,n. calf (of leg). ,Category: body parts.
ain kloor  ,n. the back of the knee. ,Category: body parts.
ain kukun  ,n. toenail. ,Category: body parts.
ain laran  ,n. sole (of foot). ,Category: body parts.
ain ruin  ,n. shin. ,Category: body parts.
ain sanak  ,n. sixth toe. ,Category: body parts.
ain tuban  ,n. heel (of foot). ,Category: body parts.
ain tuur  ,n. knee. ,Category: body parts.
anus  ,n. anus. ,Category: body parts.
apéndise  ,n. appendix. ,Category: body parts.
aten  ,n. liver. ,Category: body parts.
aten book  ,n. lungs. ,Category: body parts.
baboton  ,n. fontanel. ,Category: body parts.
been tasak  ,n. pus. ,Category: body parts.
estadu2  ,pregnant. ,Category: body parts.
fuan1  ,"n. 1 • heart (the physical organ), cardiac. ",Category: body parts.
fukun  ,"n. joint (e.g. ankle, toe wrist and knuckle joints). ",Category: body parts.
fuuk  ,n. hair of head. ,Category: body parts.
garganta  ,n.  ,Category: body parts.
hasan  ,n. cheek. ,Category: body parts.
hasan rahun  ,"n. facial hair, beard, moustache, whiskers. ",Category: body parts.
hirus matan  ,"n. chest, breast. ",Category: body parts.
hitin  ,n. lap. ,Category: body parts.
huin  ,n. cunt (offensive term for 'vagina'). ,Category: body parts.
husar  ,"n. navel, belly button, umbilicus. ",Category: body parts.
husar talin  ,n. umbilical cord. ,Category: body parts.
ibun kulit  ,n. lip. ,Category: body parts.
inus  ,n. nose. ,Category: body parts.
inus been  ,"1 • n. runny snot, nasal mucus. ",Category: body parts.
inus kain  ,n. nose ridge. ,Category: body parts.
inus kuak  ,n. nostril. ,Category: body parts.
inus teen  ,n. hard snot. ,Category: body parts.
isin fulun  ,n. body hair. ,Category: body parts.
isin lolon  ,n. body (of person). ,Category: body parts.
kaan2  ,"n. afterbirth, placenta. ",Category: body parts.
kabaas  ,n. shoulder. ,Category: body parts.
kabeen  ,"n. dribble, saliva, spittle, spit. ",Category: body parts.
kabeen tasak  ,n. phlegm. ,Category: body parts.
kabun  ,"n. stomach (inside and outside), belly; differently-patterned panel within a sarong. ",Category: body parts.
kakorok  ,"n. neck, throat. ",Category: body parts.
kakorok fukun  ,n. Adam's apple. ,Category: body parts.
kakorok talin  ,n. throat. ,Category: body parts.
kakutak  ,"n. brain, mind. ",Category: body parts.
kalilin  ,n. armpit. ,Category: body parts.
kanoruk  ,"n. nape, back of the neck. ",Category: body parts.
kanosen  ,n. ribs. ,Category: body parts.
kanotak  ,n. waist. ,Category: body parts.
kelen  ,n. thigh. ,Category: body parts.
kidan  ,"n. hip and upper buttock, haunch. ",Category: body parts.
kidun  ,"n. bottom, backside. ",Category: body parts.
kidun kuak  ,"n. arsehole (mainly used as a swear word, not to refer to a body part). ",Category: body parts.
kidun matan  ,n. anus. ,Category: body parts.
kidun tahan  ,n. buttocks. ,Category: body parts.
kosar been  ,"n. sweat, perspiration. ",Category: body parts.
kotuk  ,"nloc. back (waist to neck); behind, rear; previous; last (year...); the past (two weeks...) ",Category: body parts.
kotuk laran  ,n. back (waist to neck). ,Category: body parts.
kukun  ,n. finger/toe nail; claw. ,Category: body parts.
kulit  ,"n. skin, leather, hide, pelt; peel, bark; cover (of book), shell. ",Category: body parts.
laran  ,"nloc. inside; heart (as the seat of emotions and character), mind. ",Category: body parts.
lasan  ,n. penis. ,Category: body parts.
liman fuan  ,n. finger. ,Category: body parts.
liman fuan boot  ,n. thumb. ,Category: body parts.
liman fuan hatudu  ,n. index finger. ,Category: body parts.
liman fuan ikun  ,"n. little finger, pinkie. ",Category: body parts.
liman fuan inan  ,n. thumb. ,Category: body parts.
liman fuan kadeli  ,n. ring finger. ,Category: body parts.
liman fuan kiik  ,"n. little finger, pinkie. ",Category: body parts.
liman fuan klaran  ,n. middle finger. ,Category: body parts.
